# Candidate seed list for the home-coffee vertical: `@handle,Topic`.
# Handles are unverified; `resolve` reports any that do not exist. Extend to ~50 before the gate.
# Topics are editorial groupings, not audience demographics.
@jameshoffmann,Espresso
@LanceHedrick,Espresso
@Sprometheus,Espresso
@TalesCoffee,Espresso
@KyleRowsell,Espresso
@wholelattelove,Espresso
@SeattleCoffeeGear,Espresso
@CliveCoffee,Espresso
@morgandrinkscoffee,Latte art
@EmilioCoffee,Latte art
@TheCoffeeChronicler,Filter
@coffeeadastra,Filter
@BrewCoffeeAtHome,Filter
@EuropeanCoffeeTrip,Filter
@VirtualCoffeeHub,Gear
@TomsCoffeeCorner,Gear
@HoonsCoffee,Gear
